lemma,log_ratio,g_squared,p_value,p_value_fdr,register,relative_frequency
ὄλλυμι,1.373171037947277,61.75971306084514,3.880327163264741e-15,8.734804093706181e-13,Speech,0.0015671774851962726
νοστέω,1.3775410376183954,20.1829771409855,7.037643183890705e-06,0.00026670131579311935,Speech,0.00047859911224556827
ἐγγυαλίζω,1.3852630837123057,7.016777391348089,0.00807494336762196,0.07320527861185727,Speech,0.00013138014845956775
λώβη,1.3852630837123057,7.016777391348089,0.00807494336762196,0.07320527861185727,Speech,0.00013138014845956775
ἐναίσιμος,1.3852630837123057,7.016777391348089,0.00807494336762196,0.07320527861185727,Speech,0.00013138014845956775
ὀιζυρός,1.3852630837123057,7.016777391348089,0.00807494336762196,0.07320527861185727,Speech,0.00013138014845956775
φράζω,1.3852630837123057,41.85156162552593,9.847209432525996e-11,1.1348571637786466e-08,Speech,0.001032272595039461
νῆσος,1.3907425494769312,28.550295803648797,9.129587968721016e-08,5.863146838232818e-06,Speech,0.0006850536312534604
φυλάσσω,1.3948325347284565,16.915633009973117,3.907841762667946e-05,0.0011455286672238827,Speech,0.00038475614906016275
κακότης,1.400530555843094,11.13276138318141,0.0008481623021643212,0.013446315216101701,Speech,0.00023460740796351387
ἄτη,1.400530555843094,11.13276138318141,0.0008481623021643212,0.013446315216101701,Speech,0.00023460740796351387
ἔρομαι,1.4105808916965954,19.463695957142882,1.0252999257081197e-05,0.0003648670237841933,Speech,0.00044106192697140607
μάψ,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
ἀριδείκετος,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
λαῖτμα,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
ἐχέφρων,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
μισθός,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
σκόπελος,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
κυβερνήτης,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
ἕλωρ,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
Χάρυβδις,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
ὀδύσσομαι,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
προφαίνω,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
θαμά,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
ἐνδυκέως,1.4230034116951527,9.547083525029501,0.0020026736853531227,0.026202945124223675,Speech,0.00018768592637081108
ἐκβαίνω,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
ἀλήθεια,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
ζῶ,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
θάπτω,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
κατακλάω,1.4230034116951527,5.560248262269547,0.01837280862791269,0.1278498254645405,Speech,8.445866686686499e-05
Ἄργος,1.4352735042869669,20.389425819599513,6.317792646371943e-06,0.00024050493001776994,Speech,0.0004504462232899466
φιλέω,1.4449823184139277,33.831266019946234,6.010509180017672e-09,5.006575616979076e-07,Speech,0.0007695122981203255
θνῄσκω,1.4449823184139277,55.6400920923551,8.703046260091923e-14,1.5917114823076814e-11,Speech,0.0012950328919585964
κῆδος,1.4593710558660273,21.323491210420144,3.8794826088829e-06,0.00016483882418450422,Speech,0.00045983051960848714
ἐφοράω,1.4593710558660273,8.01440470446315,0.004640672598460019,0.04929542748843957,Speech,0.00014076444477810832
ἱππόβοτος,1.4593710558660273,8.01440470446315,0.004640672598460019,0.04929542748843957,Speech,0.00014076444477810832
ἐνέπω,1.4695234273300455,17.17334850951976,3.4118970991246704e-05,0.0010288276091374858,Speech,0.0003566032601045411
ὄμνυμι,1.4695234273300455,17.17334850951976,3.4118970991246704e-05,0.0010288276091374858,Speech,0.0003566032601045411
φίλτατος,1.487541932832724,13.053362246447145,0.00030274044387489617,0.005841640720916288,Speech,0.00025337600060059497
φέρτατος,1.4993763904797266,18.129093946084026,2.0642324488054614e-05,0.0006619271298015825,Speech,0.0003659875564230816
ἤρα,1.528363927352979,5.1784176714647,0.022869141162059403,0.14368788991516487,Speech,3.753718527416222e-05
ἥσσων,1.528363927352979,5.1784176714647,0.022869141162059403,0.14368788991516487,Speech,3.753718527416222e-05
ἠβαιός,1.528363927352979,6.6321709374813285,0.010015312860593019,0.0871106366332673,Speech,9.384296318540554e-05
Δαναός,1.528363927352979,6.6321709374813285,0.010015312860593019,0.0871106366332673,Speech,9.384296318540554e-05
ὄλβος,1.528363927352979,6.6321709374813285,0.010015312860593019,0.0871106366332673,Speech,9.384296318540554e-05
ὑψαγόρας,1.528363927352979,5.1784176714647,0.022869141162059403,0.14368788991516487,Speech,3.753718527416222e-05
