line_urn,heat
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:324,-22.42295270340517
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:325,-0.4732453229123295
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:326,93.73977237479217
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:327,-7.763819003877316
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:328,-0.11532908346499078
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:329,75.69213910250919
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:330,-30.647934263973653
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:331,-20.026823491495925
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:332,-113.03811627739654
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:333,-154.15523125458841
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:334,-24.696973784381793
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:335,-4.200226914077114
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:336,-16.343379954699863
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:337,-94.46761483634542
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:338,-53.486747474953006
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:339,-80.91150656414054
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:340,-2.242531775412706
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:341,-122.40109470116829
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:342,-62.69065887644368
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:343,-283.57629910662246
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:344,-122.9971264413223
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:345,-1.68189883155953
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:346,-1.758694741150353
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:347,-49.42423603067349
